Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,3,-0.5654188991856514,1,0,-0.5021631365156053,1.0,0.0,1.0
1,1,0.663488390424261,1,0,0.7864036178345383,0.0,0.0,0.0
1,3,-0.25819207678317324,0,0,-0.48857985158126105,0.0,0.0,1.0
1,1,0.4330682736224024,1,0,0.4204940697654092,0.0,0.0,1.0
0,3,0.4330682736224024,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.4778480503138746,1.0,1.0,0.0
0,1,1.8923956800341732,0,0,0.3955913807191113,1.0,0.0,1.0
0,3,-2.1015530111980416,3,1,-0.22395733767514675,1.0,0.0,1.0
1,3,-0.18138537118255374,0,2,-0.42401799520369554,0.0,0.0,1.0
1,2,-1.1798725439906075,1,0,-0.04293139010125909,0.0,0.0,0.0
1,3,-1.9479395999968028,1,1,-0.3119971474347855,0.0,0.0,1.0
1,1,2.1996225024366516,0,0,-0.11378180431879875,0.0,0.0,1.0
0,3,-0.7190323103868904,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,0.7402950960248805,1,5,-0.01869880977838891,1.0,0.0,1.0
0,3,-1.1798725439906075,0,0,-0.4900045872454856,0.0,0.0,1.0
1,2,1.9692023856347929,0,0,-0.32608351699632776,0.0,0.0,1.0
0,3,-2.1015530111980416,4,1,-0.061964087717411374,1.0,1.0,0.0
1,2,-0.10457866558193422,0,0,-0.38645367226008004,1.0,0.0,1.0
0,3,0.12584145121992435,1,0,-0.28583674682049287,0.0,0.0,1.0
1,3,-0.10457866558193422,0,0,-0.5026662211428032,0.0,0.0,0.0
0,2,0.4330682736224024,0,0,-0.12484966611715337,1.0,0.0,1.0
1,2,0.3562615680217829,0,0,-0.38645367226008004,1.0,0.0,1.0
1,3,-1.103065838389988,0,0,-0.48648299485510005,0.0,1.0,0.0
1,1,-0.10457866558193422,0,0,0.06632249221806229,1.0,0.0,1.0
0,3,-1.6407127775943247,3,1,-0.22395733767514675,0.0,0.0,1.0
1,3,0.663488390424261,1,5,-0.016434928955998185,0.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.5026662211428032,1.0,0.0,0.0
0,1,-0.79583901598751,3,2,4.644392599719279,1.0,0.0,1.0
1,3,-0.10457866558193422,0,0,-0.4895015026182876,0.0,1.0,0.0
0,3,-0.10457866558193422,0,0,-0.4891674544258282,1.0,0.0,1.0
0,1,0.8171018016255001,0,0,-0.09022134505786503,1.0,0.0,0.0
1,1,-0.10457866558193422,1,0,2.300436803386727,0.0,0.0,0.0
1,3,-0.10457866558193422,0,0,-0.49210144397164657,0.0,1.0,0.0
0,2,2.8140761472416074,0,0,-0.43676213497987365,1.0,0.0,1.0
0,1,-0.10457866558193422,1,0,1.0054969729792393,1.0,0.0,0.0
0,1,0.970715212826739,1,0,0.39835834616870003,1.0,0.0,1.0
1,3,-0.10457866558193422,0,0,-0.502581702925434,1.0,0.0,0.0
0,3,-0.6422256047862709,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,-0.8726457215881294,2,0,-0.28583674682049287,0.0,0.0,1.0
1,3,-1.1798725439906075,1,0,-0.4218366202601652,0.0,0.0,0.0
0,3,0.8171018016255001,1,0,-0.457388604694989,0.0,0.0,1.0
0,2,-0.18138537118255374,1,0,-0.22546659155674054,0.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.4891674544258282,1.0,0.0,0.0
1,2,-2.0247463055974224,1,2,0.18865657484452997,0.0,0.0,0.0
1,3,-0.79583901598751,0,0,-0.4895015026182876,0.0,1.0,0.0
0,3,-0.10457866558193422,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,-0.10457866558193422,1,0,-0.3361452095402864,1.0,1.0,0.0
1,3,-0.10457866558193422,0,0,-0.49210144397164657,0.0,1.0,0.0
0,3,-0.10457866558193422,2,0,-0.211798788405027,1.0,0.0,0.0
0,3,-0.8726457215881294,1,0,-0.28986142383807634,0.0,0.0,1.0
0,3,-1.717519483194944,4,1,0.15058916727371655,1.0,0.0,1.0
0,3,-0.6422256047862709,0,0,-0.49109527471725073,1.0,0.0,1.0
1,1,1.5083621520310757,1,0,0.895993560684828,0.0,0.0,0.0
1,2,-0.027771959981314702,1,0,-0.12484966611715337,0.0,0.0,1.0
0,1,2.737269441640988,0,1,0.5991736306380456,1.0,0.0,0.0
1,1,-0.10457866558193422,0,0,0.06632249221806229,1.0,0.0,1.0
1,2,-0.6422256047862709,0,0,-0.43676213497987365,0.0,0.0,1.0
0,3,-0.06617531278162446,0,0,-0.502581702925434,1.0,0.0,0.0
1,2,-1.8711328943961831,1,2,-0.08963374221329785,0.0,0.0,1.0
0,3,-1.410292660792466,5,2,0.29572908222032107,1.0,0.0,1.0
0,3,-0.5654188991856514,0,0,-0.502581702925434,1.0,0.0,0.0
1,1,0.663488390424261,0,0,0.9618131286303883,0.0,0.0,1.0
0,1,1.2011353296285976,1,0,1.0317418918109011,1.0,0.0,1.0
0,3,-1.9479395999968028,3,2,-0.08661523445011025,1.0,0.0,1.0
0,1,-0.10457866558193422,0,0,-0.09022134505786503,1.0,0.0,0.0
1,3,-0.10457866558193422,1,1,-0.34126057402963506,1.0,0.0,0.0
1,2,-0.027771959981314702,0,0,-0.43676213497987365,0.0,0.0,1.0
0,3,-0.79583901598751,0,0,-0.4838850658402499,1.0,0.0,1.0
1,3,-0.9494524271887489,4,2,-0.48857985158126105,0.0,0.0,1.0
0,3,-0.25819207678317324,2,0,-0.4737388550789219,1.0,0.0,1.0
0,2,0.20264815682054385,0,0,-0.43676213497987365,1.0,0.0,1.0
0,3,-1.0262591327893684,5,2,0.29572908222032107,0.0,0.0,1.0
0,2,-0.6422256047862709,0,0,0.8310111255589249,1.0,0.0,1.0
0,3,-0.25819207678317324,1,0,-0.3571902456652305,1.0,0.0,0.0
1,3,0.20264815682054385,0,0,0.48882906084695926,1.0,0.0,1.0
0,3,-0.33499878238379277,0,0,-0.49411378248043836,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.4891674544258282,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.48606442844527137,1.0,0.0,1.0
1,2,-2.1914168567507666,0,2,-0.06447951085340105,1.0,0.0,1.0
1,3,0.04903474561930482,0,0,-0.39701844943123665,0.0,0.0,1.0
0,3,-0.5654188991856514,0,0,-0.4669472126117498,1.0,0.0,1.0
1,3,-0.027771959981314702,0,0,-0.4568855200677911,1.0,0.0,1.0
1,3,-0.10457866558193422,0,0,-0.49134681703084965,0.0,1.0,0.0
0,1,-0.10457866558193422,0,0,0.2997537592379046,1.0,0.0,1.0
1,2,-0.9494524271887489,0,0,-0.43676213497987365,0.0,0.0,1.0
1,3,0.27945486242116335,3,0,-0.32910202475951533,0.0,0.0,1.0
0,3,-1.0262591327893684,1,3,0.043683683994155176,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.48606442844527137,1.0,0.0,1.0
1,1,-0.48861219358503183,3,2,4.644392599719279,0.0,0.0,1.0
0,3,-0.4118054879844123,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,-0.027771959981314702,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,-0.7190323103868904,0,0,-0.4900045872454856,1.0,0.0,1.0
0,1,1.2779420352292172,1,0,0.5829904043503424,1.0,0.0,1.0
0,3,-0.25819207678317324,1,2,-0.23401903021910547,1.0,0.0,1.0
0,3,2.276429208037271,0,0,-0.5021631365156053,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.48606442844527137,1.0,0.0,1.0
0,1,3.198109675244705,0,0,0.04930213311070178,1.0,0.0,0.0
1,1,-0.48861219358503183,0,1,0.6269257910127927,1.0,0.0,0.0
1,2,0.3562615680217829,0,1,-0.18521982138090567,0.0,0.0,1.0
0,2,0.3562615680217829,1,0,-0.12484966611715337,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.4891674544258282,0.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.4891674544258282,1.0,0.0,1.0
0,1,-0.6422256047862709,0,1,0.907228446579412,1.0,0.0,1.0
0,3,0.27945486242116335,0,0,-0.47390587917515165,1.0,0.0,1.0
0,3,0.5866816848236415,2,0,-0.48857985158126105,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.4891674544258282,1.0,0.0,1.0
1,3,-0.6422256047862709,0,0,-0.49411378248043836,0.0,0.0,1.0
1,3,-0.10457866558193422,0,0,-0.4915983593444487,1.0,0.0,1.0
0,3,0.663488390424261,0,0,-0.4891674544258282,1.0,0.0,1.0
1,3,-0.10457866558193422,1,0,-0.16207792852980066,0.0,1.0,0.0
0,1,1.3547487408298367,0,0,0.39835834616870003,1.0,0.0,1.0
0,3,-1.1414691911902977,1,0,-0.3571902456652305,0.0,0.0,0.0
0,3,-0.5654188991856514,0,0,-0.48606442844527137,1.0,0.0,1.0
0,3,-0.7190323103868904,1,0,-0.45034541991421795,0.0,0.0,1.0
0,3,-0.9494524271887489,0,0,-0.35710773978637,0.0,0.0,0.0
0,3,-0.6422256047862709,0,0,-0.48857985158126105,1.0,0.0,1.0
0,3,3.1597063224443955,0,0,-0.49210144397164657,1.0,1.0,0.0
0,2,-0.027771959981314702,1,0,-0.22546659155674054,1.0,0.0,1.0
0,1,-0.4118054879844123,0,1,4.332898697266388,1.0,0.0,0.0
0,3,-2.1015530111980416,4,2,-0.01869880977838891,0.0,0.0,1.0
0,2,-0.6422256047862709,2,0,0.8310111255589249,1.0,0.0,1.0
0,3,-0.10457866558193422,0,0,-0.48606442844527137,1.0,0.0,1.0
0,2,0.24105150962085362,1,0,-0.04293139010125909,1.0,0.0,0.0
1,2,0.24105150962085362,0,0,-0.38645367226008004,0.0,0.0,1.0
0,1,1.8923956800341732,0,1,0.907228446579412,1.0,0.0,1.0
1,3,-1.3334859551918465,1,0,-0.4218366202601652,1.0,0.0,0.0
0,3,-0.10457866558193422,0,0,-0.49210144397164657,1.0,1.0,0.0
1,3,-0.4118054879844123,0,0,-0.5043424991206268,1.0,0.0,1.0
1,3,-0.10457866558193422,1,1,-0.1981329975918223,0.0,0.0,0.0
0,3,1.2011353296285976,0,0,-0.5076970674147826,1.0,0.0,1.0
0,3,0.27945486242116335,0,0,-0.4891674544258282,1.0,0.0,0.0
0,3,-0.7190323103868904,0,0,-0.5061878135331888,1.0,0.0,1.0
0,3,1.3547487408298367,1,0,-0.35626859462820387,0.0,0.0,1.0
1,2,-0.027771959981314702,1,0,-0.12484966611715337,0.0,0.0,1.0
0,2,-0.33499878238379277,0,0,-0.38645367226008004,1.0,0.0,1.0
0,2,-0.48861219358503183,0,0,-0.3452852510472186,1.0,0.0,0.0
1,1,-0.79583901598751,0,2,-0.11914871112174634,0.0,0.0,1.0
0,1,0.5866816848236415,1,0,0.4204940697654092,1.0,0.0,1.0
0,3,-1.0262591327893684,0,0,-0.4625864750631981,1.0,0.0,1.0
